slug,product,company,oca_company,oca_product,source_available,repo,website,api,api_docs,pricing,pricing_url,changelog,hq_country,hq_city,company_founded,first_release,latest_version,latest_version_date,ocpp_claimed,ocpi,iso15118,eichrecht,license,deployment,status,notes,sources
cosmos,Cosmos,"Circontrol, S.A.",,,,,https://circontrol.com/,,,,,,Spain,Viladecavalls,,,,,1.6,,,,,saas,active,,https://circontrol.com/ev-chargers/cosmos/
current,CURRENT,Current Eco AS,Current Eco AS,CURRENT,,,https://www.current.eco/,Y,https://api.current.eco,,,,Norway,,2013,,,,,,,,,saas,,Founding year per the company’s own site; The Hub says 2014.,https://www.current.eco/about-us https://thehub.io/startups/current-eco-as https://api.current.eco
delta,,,"Delta Electronics, Inc.",,,,https://www.deltaww.com,,,,,,,,,,,,,,,,,,,,https://www.deltaww.com
driivz,Driivz,Driivz Ltd,Driivz Ltd,Driivz,,,https://driivz.com/,Y,,,,,,Hod Hasharon,2013,,,,,,,,,saas,,"Driivz documents a ""comprehensive API suite"", but the reference itself sits behind a customer login, so api_docs stays empty.",https://www.cbinsights.com/company/driivz https://driivz.com/ https://driivz.com/platform/interoperability-and-extensibility/
e-flux,e-flux,e-flux,,,,,https://www.e-flux.io/,,,,,,Netherlands,Amsterdam,2017,,,,,,,,,saas,active,Rebranded to Road in 2023; the e-flux product name is still used.,https://tracxn.com/d/companies/e-flux/__woneSpDGBZCU-9PM4U_pSlElT3sISlk80wYjmnQK06U https://e-flux.io/en/about/we-are-road/
e-vo,e-vo CPMS,E-VO eMobility GmbH,,,,,https://e-vo.at/,,,,,,Austria,Vienna,,,,,"1.5, 1.6",,,,,saas,active,,https://e-vo.at/en/cpms/
ecarup,eCarUp,eCarUp AG,,,,,https://web.ecarup.com/,,,,,,Switzerland,Rotkreuz,,,,,,,,,,saas,active,,https://web.ecarup.com/en/
echargo,Echargo,Raquun IoT & Yazılım A.Ş.,,,,,https://echargo.com/,,,,,,Turkey,Ankara,2021,,,,"1.6, 2.0.1",,,,,saas,active,,https://echargo.com/ozellikler/
edrv,eDRV,eDRV,,,,,https://www.edrv.io/,Y,https://docs.edrv.io/,,,https://docs.edrv.io/changelog,USA,San Francisco,2020,,,,"1.6, 2.0.1",,,,,saas,active,"EV charging management platform-as-a-service, API-first.",https://docs.edrv.io/docs/introduction-api https://www.edrv.io/product https://tracxn.com/d/companies/edrv/__S61_HeEHV9hFgNUS9APmzKvZnNucx2DoeVLQiIDQ-Bg
elios-cloud,Elios Cloud,Elinta Charge,,,,,https://elintacharge.com/ev-chargers/elios-cloud/,,,,,,Lithuania,Kaunas,2018,,,,,,,,,saas,active,,https://elintacharge.com/ev-chargers/elios-cloud/ https://elintacharge.com/about-us/
elocity,Elocity,Elocity Sp. z o.o.,,,,,https://elo.city,,,,,,Poland,Kraków,2017,,,,,,,,,saas,active,"White-label CSMS sold to charge point operators, alongside its own driver app and stations. Unrelated to the OCA-certified ELOCITYTECH INC (Canada, HIEV CSMS).",https://elo.city/obsluga-sieci https://elo.city/kontakt https://wysokienapiecie.pl/95721-integracja-stacji-ladowania-z-systemem-backend/
emabler,eMabler,eMabler,,,,,https://emabler.com/,Y,https://docs.emabler.com/docs/api-v2-documentation,Price list,https://emabler.com/pricing,https://docs.emabler.com/docs/news,Finland,Helsinki,2019,,,,,,,,,saas,active,API-first EV charging platform.,https://www.electrive.com/2026/06/16/charging-platform-emabler-secures-e5-5-million-of-funding/ https://www.eu-startups.com/2021/06/finnish-e-mobility-software-startup-emabler-raises-e630k-for-its-electric-vehicle-charging-solution/
empact,emPACT,Electric Miles Limited,,,,,https://electricmiles.com/,,,,,,United Kingdom,London,,,,,,,,,,saas,active,,https://electricmiles.com/
eneliver,Eneliver Cloud,Eneliver Inc.,,,,,https://eneliver.com/,,,,,,Japan,Tokyo,,,,,"1.6, 2.0.1",,,,,saas,active,,https://eneliver.com/cloud/
enio,ETSweb,ENIO GmbH,,,,,https://www.enio.business/,,,,,,Austria,Vienna,2013,,,,"1.6, 2.0",,,,,saas,active,,https://www.enio.business/ueber-enio
enplus,,,"Shenzhen EN Plus Tech Co., Ltd.",,,,https://www.en-plustech.com,,,,,,China,,,,,,,,,,,,,,https://www.en-plustech.com
eo-cloud,EO Cloud,EO Charging (Juuce Limited),,,,,https://www.eocharging.com/,,,,,,United Kingdom,,,,,,,,,,,saas,active,,https://www.eocharging.com/eo-cloud
etrel-ocean,OCEAN,Landis+Gyr EV Solutions (formerly Etrel),,,,,,,,,,,Slovenia,Grosuplje,2007,,,,,,,,,saas,acquired,"Etrel founded 2007; Landis+Gyr took full ownership in 2024 and announced the wind-down of EV Solutions in February 2025; KD Group then acquired the business, averting liquidation.",https://www.electrive.com/2025/02/11/landisgyr-withdraws-from-charging-infrastructure-business/ https://sloveniatimes.com/42495/swiss-owned-ev-charging-business-to-be-wound-down https://www.rtvslo.si/gospodarstvo/kd-group-z-nakupom-resil-nekdanji-etrel-pred-likvidacijo/739362
ev-charging-cms,EV Charging CMS,chethanbhatbs,,,Y,chethanbhatbs/CMS,,,,Free (self-hosted),,,,,,,,,1.6,,,,,self-hosted,active,,https://github.com/chethanbhatbs/CMS
ev-connect,EV Connect Management Platform,EV Connect,EV Connect,EV Connect Management Platform,,,https://www.evconnect.com/,,,,,,,El Segundo,2009,,,,,,,,,saas,acquired,Acquired by Schneider Electric in June 2022.,https://www.evconnect.com/our-company/ https://pitchbook.com/profiles/company/56747-89
ev-energy,ev.energy,EV DOT ENERGY LTD,EV DOT ENERGY LTD,ev.energy,,,https://ev.energy/,Y,https://developers.ev.energy/,,,,,,,,,,,,,,,saas,active,,https://developers.ev.energy/
evcharge,EvCharge,EvCharge,,,,,https://evcharge.net/fr/,,,,,,,,,,,,,,,,,saas,active,,https://evcharge.net/fr/
evcore,EVcore CPMS,Efacec Electric Mobility,,,,,https://www.efacec.com/,,,,,,Portugal,Moreira da Maia,,,,,,,,,,saas,active,,https://www.efacec.com/business/ev-chargers/
everon,Everon,Everon (EVBox Group),,,,,https://everon.energy/,,,,,,Netherlands,Amsterdam,,2021,,,,,,,,saas,discontinued,"Charge management platform launched by EVBox Group in February 2021. Engie decided in October 2024 to wind down EVBox; the Everon back-office ceased operating on 1 December 2025, with Blink Charging named migration partner. Unrelated to the OCA-certified Everon CO., Ltd. (Republic of Korea).",https://www.electrive.com/2021/02/04/evbox-group-launches-charge-management-platform/ https://en.wikipedia.org/wiki/EVBox https://www.electrive.com/2025/07/14/blink-charging-takes-over-support-for-everon-users/
everythingcharge,EVerythingcharge,jagwarthegreat,,,Y,jagwarthegreat/EVerythingcharge,,,,Free (self-hosted),,,,,,,,,"1.6, 2.0.1",,,,,self-hosted,active,,https://github.com/jagwarthegreat/EVerythingcharge
evoltsoft,Evoltsoft EV Charging Platform,Evoltsoft Technologies Pvt. Ltd.,,,,,https://www.evoltsoft.com/,,,,,,India,Pune,2023,,,,"1.6, 2.0.1",,,,,saas,active,,https://www.evoltsoft.com/ocpp
evpassport,EVPassport,"EVPassport, Inc.",,,,,https://evpassport.com/,,,On request,https://evpassport.com/pricing,,USA,Los Angeles,2020,,,,,,,,,saas,active,,https://www.northleafcapital.com/news/northleaf-commits-200-million-evpassport-open-api-driven-electric-vehicle-charging-platform https://www.builtinla.com/company/evpassport
evsys,evsys,ruslan-hut,,,Y,ruslan-hut/evsys,,,,Free (self-hosted),,,,,,,,,1.6,,,,,self-hosted,active,,https://github.com/ruslan-hut/evsys
evtivity,EVtivity CSMS,EVtivity,,,Y,EVtivity/evtivity-csms,,,,Free (self-hosted),,,,,,,,,"1.6, 2.0.1",,,,,self-hosted,active,,https://github.com/EVtivity/evtivity-csms
exploren,Exploren,EVSE Australia Pty Ltd,,,,,https://exploren.com.au/,,,,,,Australia,Silverwater,,,,,"1.6, 2.0.1",,,,,saas,active,,https://exploren.com.au/public-ocpp-ev-charging/
ezvolt,Easy Charge,Easy Volt Brasil (EZVolt),,,,,https://ezvolt.com.br/,,,,,,Brazil,Rio de Janeiro,2019,,,,,,,,,saas,active,,https://ezvolt.com.br/solucao/sistema-de-gestao-e-app/
fits-emobility-cloud,FITS eMobility Cloud,Fink IT-Solutions GmbH & Co. KG,,,,,https://www.emobilitycloud.de/,,,,,,Germany,Würzburg,,,,,,,,,,saas,active,,https://www.emobilitycloud.de/charging-infrastructure.html
fuuse,Fuuse,Fuuse Ltd,Fuuse Ltd,Fuuse,,,https://fuuse.io/,Y,https://developer.fuuse.io,,,,United Kingdom,Lancaster,2016,,,,,,,,,saas,,"Incorporated in 2016 as Miralis Data Ltd, renamed Fuuse Ltd in 2022; the Fuuse platform launched in 2021.",https://fuuse.io/ https://developer.fuuse.io https://find-and-update.company-information.service.gov.uk/company/10189845 https://fuuse.io/about
givevc,GivEVC,DJBenson,,,Y,DJBenson/GivEVC-OCPPv2,,,,Free (self-hosted),,,,,,,,,1.6,,,,,self-hosted,active,Self-hosted portal replacing the GivEnergy cloud.,https://github.com/DJBenson/GivEVC-OCPPv2
greenflux,GreenFlux EV Platform,GreenFlux Assets B.V.,GreenFlux Assets B.V.,GreenFlux EV Platform,,,https://www.greenflux.com/,Y,https://developer.greenflux.com/docs/api-overview,,,https://developer.greenflux.com/changelog,,,2011,,,,,,,,,saas,,,https://developer.greenflux.com/docs/api-overview https://www.greenflux.com/
greenlots,Electric Vehicle Charging Networks,Greenlots,Greenlots,Electric Vehicle Charging Networks,,,https://shellrecharge.com/fr-fr/solutions,,,,,,,,,,,,,,,,,saas,acquired,Acquired by Shell; rebranded with NewMotion as Shell Recharge Solutions in 2021-2022. The certificate is still registered under the Greenlots name.,https://www.electrive.com/2021/11/03/newmotion-greenlots-rebranded-as-shell-recharge-solutions/
gregszalay-ocpp-csms,ocpp-csms,gregszalay,,,Y,gregszalay/ocpp-csms,,,,Free (self-hosted),,,,,,,,,2.0.1,,,,,self-hosted,active,,https://github.com/gregszalay/ocpp-csms
halo-energy,,,Halo Energy Limited,,,,https://www.halo-e.co,,,,,,,,,,,,,,,,,,,,https://www.halo-e.co
heycharge,HeyCharge CPMS,HeyCharge GmbH,,,,,https://www.heycharge.com/,,,,,,Germany,Munich,2020,,,,,,,,,saas,active,,https://www.heycharge.com/products/cpms
invisia,Invisia,Invisia AG,,,,,https://www.invisia.ch/en/,,,Price list,https://www.invisia.ch/produkte/invisia-pay/,,Switzerland,Winterthur,2015,,,,"1.5, 1.6",,,,,saas,active,"Full OCPP station management (RFID issuance, tariffs, dashboard, roaming to MOVE/Swisscharge/eCarUp/Plugsurfing) bundled inside a building energy-management product; Swiss market only.",https://www.invisia.ch/system-status/ https://www.invisia.ch/produkte/invisia-server/ https://www.invisia.ch/en/legal-notice/ https://www.invisia.ch/produkte/invisia-pay/
ionage,IONAGE Nexus,IONAGE Technologies,,,,,https://www.ionage.in/,,,,,,India,,,,,,,,,,,saas,active,,https://www.ionage.in/for-business
ite,,,Instituto Tecnológico de la Energía,,,,https://www.ite.es,,,,,,Spain,Valencia,,,,,,,,,,,,"Public research institute, not a commercial vendor.",https://www.ite.es
jtech-grid-control,jtech-grid-control,Lanshark,,,Y,Lansharkza/jtech-grid-control,,,,Free (self-hosted),,,,,,,,,1.6,,,,,self-hosted,active,,https://github.com/Lansharkza/jtech-grid-control
kazam,,,Kazam EV Tech Pvt. Ltd.,,,,https://www.kazam.in,,,,,,India,Bengaluru,,,,,,,,,,,,,https://www.kazam.in
kepco-kdn,,,KEPCO KDN,,,,https://www.kdn.com,,,,,,,,,,,,,,,,,,,,https://www.kdn.com
last-mile-solutions,Last Mile Solutions,Last Mile Solutions,,,,,https://www.lastmilesolutions.com/,,,,,,Netherlands,Rotterdam,2007,,,,,,,,,saas,active,Founding year is the company's own claim on its website.,https://www.lastmilesolutions.com/
liteon,,,LITE-ON SINGAPORE Pte. Ltd.,,,,https://www.liteon.com,,,,,,,,,,,,,,,,,,,URL is the Taiwan parent Lite-On Technology Corporation; no separate site found for the Singapore entity.,https://www.liteon.com
llocer-cso,llocer_cso,Llocer,,,Y,Llocer/llocer_cso,,,,Free (self-hosted),,,,,,,,,1.6,,,,,self-hosted,active,,https://github.com/Llocer/llocer_cso
maeve,MaEVe,Thoughtworks,,,Y,thoughtworks/maeve-csms,,,,Free (self-hosted),,,,,,,,,"1.6, 2.0.1",,,,,self-hosted,active,Experimental EV charge station management system.,https://github.com/thoughtworks/maeve-csms
medinilla,Medinilla,eliodecolli,,,Y,eliodecolli/Medinilla,,,,Free (self-hosted),,,,,,,,,1.6,,,,,self-hosted,active,,https://github.com/eliodecolli/Medinilla
mobility-house,,,The Mobility House,,,,https://www.mobilityhouse.com,,,,,,Germany,Munich,2009,,,,,,,,,,,,https://www.mobilityhouse.com
mobility-smart-manager,Mobility Smart Manager,Etecnic Energia i Mobilitat,,,,,https://etecnic.es/,,,,,,Spain,Reus,,,,,,,,,,saas,active,,https://etecnic.es/noticias/vive-etecnic/swetecnic/mobility-smart-manager-software-de-gestion-para-puntos-de-recarga/
mobilyweb,MobilyWeb,MobilyGreen (Groupe PARERA),,,,,https://parera-mobilite.fr/,,,,,,France,L'Isle-Jourdain,2015,,,,"1.5, 1.6",,,,,saas,active,,https://parera-mobilite.fr/logiciel-de-supervision-de-bornes-de-recharge/
monta,Monta,Monta,,,,,https://monta.com/,Y,https://developer.monta.com,Price list,https://monta.com/en/pricing/,https://developer.monta.com/changelog,Denmark,Copenhagen,2020,,,,,,,,,saas,active,,https://www.eu-startups.com/2022/09/copenhagen-based-monta-raises-e30-million-to-power-europes-ev-charging-ecosystem/ https://monta.com/en-us/press/danish-ev-charging-platform-monta-expands-to-the-u-s-to-support-global-growth-of-charging-infrastructure-market/ https://developer.monta.com
moovolt,Moov.olt,FlipSoftware,,,Y,FlipSoftware/moovolt-csms,,,,Free (self-hosted),,,,,,,,,1.6,,,,,self-hosted,active,,https://github.com/FlipSoftware/moovolt-csms
nec,,,NEC Corporation,,,,https://www.nec.com,,,,,,Japan,,,,,,,,,,,,,,https://www.nec.com
noodoe,,,Noodoe Inc.,,,,https://www.noodoe.com,,,,,,,,,,,,,,,,,,,"HQ conflict between Taipei and Irvine, CA; left blank.",https://www.noodoe.com
numocity,,,Numocity Technologies Pvt Ltd.,,,,https://www.numocity.com,,,,,,India,Bengaluru,2018,,,,,,,,,,,Majority-owned by ABB since May 2022.,https://www.numocity.com
ocpp-core,OCPP.Core,Dallmann Consulting,,,Y,dallmann-consulting/OCPP.Core,,,,Free (self-hosted),,,,,,,,,"1.6, 2.0",,,,,self-hosted,active,,https://github.com/dallmann-consulting/OCPP.Core
ocpp-manager,OCPP Manager,davbauer,,,Y,davbauer/ocpp-manager,,,,Free (self-hosted),,,,,,,,,1.6,,,,,self-hosted,active,,https://github.com/davbauer/ocpp-manager
open-e-mobility,Open e-Mobility,SAP Labs France,,,Y,sap-labs-france/ev-server,,,,Free (self-hosted),,,,,,,,,1.6,,,,,self-hosted,active,Backend of the Open e-Mobility platform; ev-dashboard is its frontend.,https://github.com/sap-labs-france/ev-server
openchargingcloud-csms,OpenChargingCloud CSMS,GraphDefined,,,Y,OpenChargingCloud/CSMS,,,,Free (self-hosted),,,,,,,,,"1.6, 2.0.1, 2.1",,,,,self-hosted,active,,https://github.com/OpenChargingCloud/CSMS
opencpo,OpenCPO,OpenCPO,,,Y,opencpo/opencpo,,,,Free (self-hosted),,,,,,,,,"1.6, 2.0.1",,,,,self-hosted,active,,https://github.com/opencpo/opencpo
optimile,Optimile,Optimile,,,,,https://optimile.eu/,,,,,,Belgium,Ghent,2016,,,,,,,,,saas,acquired,"Acquired by DKV Mobility, effective 30 April 2026.",https://www.electrive.com/2026/05/05/dkv-mobility-acquires-optimile/ https://optimile.eu/press/optimile-joins-the-dkv-mobility-group-and-accelerates-its-mission-to-drive-an-electric-future/ https://optimile.eu/press/optimile-joins-the-dkv-mobility-group-and-accelerates-its-mission-to-drive-an-electric-future/
parkl,Parkl Connect,Parkl,,,,,https://parkl.net/,,,,,,Hungary,Budapest,2016,,,,,,,,,saas,active,Reported by a contributor to be based on a SteVe fork; not independently verified.,https://parkl.net/ https://www.vestbee.com/insights/articles/parkl-secures-4 contributor:juherr
plugchoice,Plugchoice,Plugchoice,,,,,https://plugchoice.com/,,,,,,Netherlands,Amsterdam,,,,,1.6,,,,,saas,active,,https://plugchoice.com/en/platform/management
powerfill,SteVe OCPP Pro,Powerfill Technologies Ltd,Powerfill Technologies Ltd,SteVe OCPP Pro,,,https://powerfill.io/,Y,https://powerfill.io/docs/api,,,,,,,,,,,,,,,saas,active,"Commercial managed platform from the creators of SteVe. The OCA certificate covers the tested Powerfill backend and version, not the standalone open-source SteVe distribution.",https://powerfill.io/certification https://powerfill.io/docs/api
powerflex,PowerFlex X,PowerFlex,,,,,https://www.powerflex.com/,,,,,,USA,San Diego,,,,,1.6,,,,,saas,active,,https://www.powerflex.com/product/powerflex-x
powerland,my.powerland,Powerland,,,,,https://www.powerland.be/,,,,,,Belgium,Poperinge,,,,,,,,,,saas,active,,https://www.powerland.be/en/blog/artikel/cpo-msp-ocpp-explained
rab-lighting,,,RAB Lighting Inc.,,,,https://www.rablighting.com,,,,,,,,,,,,,,,,,,,,https://www.rablighting.com
reev,reev,reev GmbH,,,,,https://reev.com/,Y,https://docs.reev.com,,,,Germany,Munich,2018,,,,,,,,,saas,active,,https://siliconcanals.com/munich-based-reev-secures-10m/ https://www.munich-startup.de/en/startups-and-ecosystem/reev https://docs.reev.com
siemens,,,Siemens AG,,,,https://www.siemens.com/global/en/products/energy/emobility/depotfinity.html,,,,,,Germany,,,,,,,,,,,,,,https://www.siemens.com/global/en/products/energy/emobility/depotfinity.html
sintio,Sintio,Sintio AG,,,,,https://www.sintio.com/,,,,,,Switzerland,Altendorf,2020,,,,,,,,,saas,active,,https://www.sintio.com/ https://docs.sintio.app/
slachiewicz-csms,ocpp-csms-backend,slachiewicz,,,Y,slachiewicz/ocpp-csms-backend,,,,Free (self-hosted),,,,,,,,,1.6,,,,,self-hosted,active,,https://github.com/slachiewicz/ocpp-csms-backend
solucharger,soluCharger,Solutera Teknoloji ve Bilişim Çözümleri,,,,,https://www.solucharger.com/,,,,,,Turkey,Istanbul,,,,,"1.5, 1.6",,,,,saas,active,,https://www.solucharger.com/ocpp/
spirii,Spirii Connect,Spirii,,,,,https://www.spirii.com/,Y,https://docs.spirii.com/,,,https://docs.spirii.com/changelog/overview,Denmark,Copenhagen,2019,,,,,,,,,saas,active,,https://www.cbinsights.com/company/spirii-1
steve,SteVe,SteVe Community,,,Y,steve-community/steve,,,,Free (self-hosted),,,,,,,,,"1.2, 1.5, 1.6",,,,,self-hosted,active,"Longest-running open-source CSMS (since 2013). Not itself OCA-certified: Powerfill's certified backend is a separate product, see the powerfill row.",https://github.com/steve-community/steve
strom,Strom,Strom Energy,,,Y,stromenergy/strom,,,,Free (self-hosted),,,,,,,,,1.6,,,,,self-hosted,active,,https://github.com/stromenergy/strom
switch-ev,Switch Platform,Switch EV Ltd,Switch EV Ltd,Switch Platform,,,,,,,,,United Kingdom,London,2020,,,,,,,,,saas,acquired,"Believ acquired Switch EV’s assets in March 2025; the original entity was renamed V2G Clarity Ltd. Name-reuse trap: today’s ""Switch EV Limited"" is a Believ subsidiary incorporated in 2023.",https://www.electrive.com/2025/03/24/uk-believ-takes-over-switch-ev/ https://find-and-update.company-information.service.gov.uk/company/14928375
swtch,,,SWTCH Energy Inc.,,,,https://swtchenergy.com,,,,,,Canada,Toronto,2016,,,,,,,,,,,,https://swtchenergy.com
tardis,,,Tardis Technology,,,,https://www.tardistechnology.com,,,,,,,,,,,,,,,,,,,tardis-technology.com is an unrelated company.,https://www.tardistechnology.com
tridens,Tridens EV Charge,Tridens,,,,,https://tridenstechnology.com/,Y,https://tridenstechnology.com/ev-charge-api-docs/,,,,Slovenia,Maribor,2007,,,,,,,,,saas,active,,https://tridenstechnology.com/company/ https://tridenstechnology.com/ev-charge-api-docs/
vattenfall-incharge,,,Vattenfall InCharge,,,,https://incharge.vattenfall.nl/en,,,,,,,,,,,,,,,,,,,,https://incharge.vattenfall.nl/en
vaylens,vaylens,vaylens GmbH (KOSTAL Group),,,,,https://vaylens.com/,Y,https://api.vaylens.com/ui/interfaces,Price list,https://vaylens.com/pricing,https://api.vaylens.com/ui/releases,Germany,Dortmund,2022,2024,,,"1.5, 1.6, 2.x",,,,,saas,active,"Registered in 2022 as Compleo Charging Software GmbH; KOSTAL acquired Compleo out of insolvency in 2023 and the software entity was renamed vaylens in June 2024. OCPP versions taken from the public OpenAPI specs, not from a marketing claim: the site states no version. Product release notes also at help.vaylens.com.",https://vaylens.com/legal-notice https://vaylens.com/company/news/compleo-charging-software-becomes-vaylens https://www.electrive.net/2023/08/01/compleo-uebernahme-durch-kostal-ist-abgeschlossen/ https://api.vaylens.com/ui/interfaces https://api.vaylens.com/ui/releases https://vaylens.com/pricing
virta,Virta,Liikennevirta Oy (Virta),,,,,https://www.virta.global/,,,,,https://virta.global/changelog,Finland,Helsinki,2013,,,,,,,,,saas,active,Founded in December 2013 by a consortium of Finnish energy utilities.,https://smartcommuting.eu/liikennevirta-oy/ https://tracxn.com/d/companies/virta/__g2u0AVZ4vzjcqrtvWdmSeWRxcfAGUcQMW_Ebxdyhuts https://virta.global/changelog
voltbras,VoltBras,Voltbras Eletropostos Agenciamento LTDA,,,,,https://voltbras.com/,,,,,,Brazil,Florianópolis,,,,,,,,,,saas,active,,https://voltbras.com/a-solucao/
