certificate_no,company,company_link,country,product_designation,certificate_type,software_version,protocol_version,date_of_registration,certificate_url,product_type
OCA.0016.0331.CSMS,"Autel Digital Power Co., Ltd.",https://openchargealliance.org/participants/autel-digital-power-co-ltd/,China,EVOTA,Full,2.0.105,OCPP 1.6,2023-04-17,https://openchargealliance.org/wp-content/uploads/2024/01/Certificate_OCA.0016.0331.CSMS_Autel-Digital-Power-Co.-Ltd.pdf.pdf,Charging Station Management System
OCA.0016.0332.CSMS,"Autel Digital Power Co., Ltd.",https://openchargealliance.org/participants/autel-digital-power-co-ltd/,China,EVOTA,Security,2.0.105,OCPP 1.6,2023-04-17,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0332.CSMS_Autel-Digital-Power-Co.Ltd_.pdf,Charging Station Management System
OCA.0201.0025.CSMS,"Autel Digital Power Co., Ltd.",https://openchargealliance.org/participants/autel-digital-power-co-ltd/,China,EVOTA,Core + S,release-v2.5.46,OCPP 2.0.1,2024-05-16,https://openchargealliance.org/wp-content/uploads/2024/05/Certificate_OCA.0201.0025.CSMS_Autel-Digital-Power.pdf,Charging Station Management System
OCA.0201.0102.CSMS,"Autel Digital Power Co., Ltd.",https://openchargealliance.org/participants/autel-digital-power-co-ltd/,China,EVOTA,Core + S + L + C + D + R + U + I,release-v2.8.51,OCPP 2.0.1,2025-06-02,https://openchargealliance.org/wp-content/uploads/2025/07/Certificate_OCA.0201.0102.CSMS_Autel.pdf,Charging Station Management System
OCA.0016.0308.CSMS,"Autocrypt Co., Ltd.",,Republic of Korea,EVIQ CSMS,Full,v1.0.0,OCPP 1.6,2023-04-13,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0308.CSMS_Autocrypt-Co.Ltd_.pdf,Charging Station Management System
OCA.0016.0309.CSMS,"Autocrypt Co., Ltd.",,Republic of Korea,EVIQ CSMS,Security,v1.0.0,OCPP 1.6,2023-04-13,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0309.CSMS_Autocrypt-Co.Ltd_.pdf,Charging Station Management System
OCA.0201.0016.CSMS,"Autocrypt Co., Ltd.",,Republic of Korea,EVIQ CSMS,Core + S,v2.0.0,OCPP 2.0.1,2024-01-29,https://openchargealliance.org/wp-content/uploads/2024/04/Certificate_OCA.0201.0016.CSMS_Autocrypt.pdf,Charging Station Management System
OCA.0016.1260.CSMS,"BIONEVER CO., LTD",https://openchargealliance.org/participants/bionever-co-ltd/,Republic of Korea,BIONEVER CSMS,Core + S + C,1.0.0,OCPP 1.6,2026-07-02,https://openchargealliance.org/wp-content/uploads/2026/07/Certificate_OCA.0016.1260.CSMS_BIONEVER.pdf,Charging Station Management System
OCA.0016.0978.CSMS,Blokcert Technology Inc.,https://openchargealliance.org/participants/blokcert-technology-inc/,Taiwan,Aktzin EMS,Full + Security,v1.3.24,OCPP 1.6,2025-02-04,https://openchargealliance.org/wp-content/uploads/2025/02/Certificate_OCA.0016.0978.CSMS_Blokcert.pdf,Charging Station Management System
OCA.0016.1159.CSMS - update-2025-12-15,Blue Networks Co. Ltd.,https://openchargealliance.org/participants/blue-networks-co-ltd/,Republic of Korea,BlueCharger CSMS,Core + S + C,20251111-Release,OCPP 1.6,2025-11-27,https://openchargealliance.org/wp-content/uploads/2025/12/Certificate_OCA.0016.1159.CSMS_Blue_Networks-1.pdf,Charging Station Management System
OCA.0016.0292.CSMS,Blue Networks Co. Ltd.,https://openchargealliance.org/participants/blue-networks-co-ltd/,Republic of Korea,Echaeum EVCMS Ver 1.0,Full,ver 01.01.02,OCPP 1.6,2023-02-13,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0292.CSMS_Blue-Networks-Co.Ltd_.pdf,Charging Station Management System
OCA.0016.0163.CSMS,"Botari Energy Co., Ltd.",https://openchargealliance.org/participants/botari-energy-co-ltd/,Republic of Korea,BotariCSMS1.0,Full,1.0.0,OCPP 1.6,2022-06-24,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160163CSMS_BOTARI.pdf,Charging Station Management System
OCA.0016.0164.CSMS,"Botari Energy Co., Ltd.",https://openchargealliance.org/participants/botari-energy-co-ltd/,Republic of Korea,BotariCSMS1.0,Security,1.0.0,OCPP 1.6,2022-06-24,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160164CSMS_BOTARI.pdf,Charging Station Management System
OCA.0016.0423.CSMS,Brite Energy Partners,,Republic of Korea,WATER CSMS,Full,1.0,OCPP 1.6,2023-07-11,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0423.CSMS_Brite-Energy-Partners.pdf,Charging Station Management System
OCA.0016.0424.CSMS,Brite Energy Partners,,Republic of Korea,WATER CSMS,Security,1.0,OCPP 1.6,2023-07-11,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0424.CSMS_Brite-Energy-Partners.pdf,Charging Station Management System
OCA.0201.0084.CSMS,Buzze Inc.,https://openchargealliance.org/participants/buzze-inc/,USA,Buzze,Core,v1.0.0,OCPP 2.0.1,2025-03-11,https://openchargealliance.org/wp-content/uploads/2025/03/Certificate_OCA.0201.0084.CSMS_Buzze.pdf,Charging Station Management System
OCA.0016.0084.CSMS,"CASTPRO CO., LTD",https://openchargealliance.org/participants/castpro/,Republic of Korea,HC-01 CSMS,Full,1.0.0,OCPP 1.6,2022-03-29,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160084CSMS_Castpro-full_1.pdf,Charging Station Management System
OCA.0016.0035.CSMS,"CHAEVI CO.,LTD",https://openchargealliance.org/participants/daeyoung-chaevi/,Republic of Korea,CSMS,Full,1.0.0.1,OCPP 1.6,2021-11-24,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160035CSMS_Daeyoung-Chaevi.pdf,Charging Station Management System
OCA.0016.0036.CSMS,"CHAEVI CO.,LTD",https://openchargealliance.org/participants/daeyoung-chaevi/,Republic of Korea,CSMS,Security,1.0.0.1,OCPP 1.6,2021-11-24,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160036CSMS_Daeyoung-Chaevi.pdf,Charging Station Management System
OCA.0016.0039.CS,"CHAEVI CO.,LTD",https://openchargealliance.org/participants/daeyoung-chaevi/,Republic of Korea,DCV-3FS100P-UC-M,Full,1.0.0.1,OCPP 1.6,2021-11-25,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160039CS_Daeyoung-Chaevi.pdf,Charging Station Management System
OCA.0016.1152.CSMS - update-2025-12-12,ChargeAngels,https://openchargealliance.org/participants/chargeangels/,France,ChargeAngels,Core + C,3.2.4,OCPP 1.6,2025-11-19,https://openchargealliance.org/wp-content/uploads/2025/12/Certificate_OCA.0016.1152.CSMS_ChargeAngels-1.pdf,Charging Station Management System
OCA.0016.0040.CSMS,ChargEV,,Republic of Korea,EVE Platform,Full,1.0.0,OCPP 1.6,2022-01-17,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160040CSMS_ChargEV.pdf,Charging Station Management System
OCA.0016.0070.CSMS,Charzin,,Republic of Korea,Charzin OCPP 1.6 CSMS,Full,1.0.0,OCPP 1.6,2022-03-11,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160070CSMS_Charzin.pdf,Charging Station Management System
OCA.0016.0381.CSMS,"Costel Co., Ltd.",https://openchargealliance.org/participants/costel-co-ltd/,Republic of Korea,Costel EV Manager,Full,EV-CSMS V1.0,OCPP 1.6,2023-05-18,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0381.CSMS_Costel-Co.Ltd_.pdf,Charging Station Management System
OCA.0016.0382.CSMS,"Costel Co., Ltd.",https://openchargealliance.org/participants/costel-co-ltd/,Republic of Korea,Costel EV Manager,Security,EV-CSMS V1.0,OCPP 1.6,2023-05-18,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0382.CSMS_Costel-Co.Ltd_.pdf,Charging Station Management System
OCA.0016.0273.CSMS,Crocus Inc.,https://openchargealliance.org/participants/crocus-inc/,Republic of Korea,CROCUS-EV-CSMS-1.6,Full,CROCUS-EV-CSMS-1.6,OCPP 1.6,2023-03-08,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0273.CSMS_CROCUSINC.pdf,Charging Station Management System
OCA.0016.0274.CSMS,Crocus Inc.,https://openchargealliance.org/participants/crocus-inc/,Republic of Korea,CROCUS-EV-CSMS-1.6,Security,CROCUS-EV-CSMS-1.6,OCPP 1.6,2023-03-08,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0274.CSMS_CROCUSINC.pdf,Charging Station Management System
OCA.0201.0173.CSMS,Crocus Inc.,https://openchargealliance.org/participants/crocus-inc/,Republic of Korea,CROCUS-EV-CSMS-2.0.1,Core + S + C + I,1.0.0,OCPP 2.0.1,2026-07-24,https://openchargealliance.org/wp-content/uploads/2026/07/Certificate_OCA.0201.0173.CSMS_CROCUS.pdf,Charging Station Management System
OCA.0016.0009.CSMS,Current Eco AS,https://openchargealliance.org/participants/current-eco-as/,Norway,CURRENT,Full,1.6J-24012021,OCPP 1.6,2021-01-25,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160009CSMS_Meshcrafts-AS.pdf,Charging Station Management System
OCA.0201.0041.CSMS,Current Eco AS,https://openchargealliance.org/participants/current-eco-as/,Norway,CURRENT,Core + S,Version 2.0.1J-25062024,OCPP 2.0.1,2024-07-23,https://openchargealliance.org/wp-content/uploads/2024/08/Certificate_OCA.0201.0041.CSMS_CURRENT-ECO-AS.pdf,Charging Station Management System
OCA.0016.0116.CSMS,"CUS Co., Ltd.",,Republic of Korea,CUS-CSMS,Full,1.4.8,OCPP 1.6,2022-03-07,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160116CSMS_CUS.pdf,Charging Station Management System
OCA.0016.0146.CSMS,DAVA Inc.,,Republic of Korea,DAcharger,Full,DAcharger v.1,OCPP 1.6,2022-03-25,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160146CSMS_DAVA.pdf,Charging Station Management System
OCA.0016.0147.CSMS,DAVA Inc.,,Republic of Korea,DAcharger,Security,DAcharger v.1,OCPP 1.6,2022-03-25,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160147CSMS_DAVA.pdf,Charging Station Management System
OCA.0016.0520.CSMS,"Delta Electronics, Inc.",https://openchargealliance.org/participants/delta-electronics-b-v/,Taiwan,DeltaGrid EVM Core OCPP1.6 Service,Full,1.5.0,OCPP 1.6,2023-10-20,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0520.CSMS_Delta.pdf,Charging Station Management System
OCA.0016.0521.CSMS,"Delta Electronics, Inc.",https://openchargealliance.org/participants/delta-electronics-b-v/,Taiwan,DeltaGrid EVM Core OCPP1.6 Service,Security,1.5.0,OCPP 1.6,2023-10-20,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0521.CSMS_Delta.pdf,Charging Station Management System
OCA.0016.0567.CSMS,DONG YANG E&P,https://openchargealliance.org/participants/dong-yang-ep/,Republic of Korea,DYENP-EV-CSMS-1.6,Full,DYENP-EV-CSMS-1.6,OCPP 1.6,2023-11-07,https://openchargealliance.org/wp-content/uploads/2024/01/Certificate_OCA.0016.0567.CSMS_Dongyang.pdf,Charging Station Management System
OCA.0016.0568.CSMS,DONG YANG E&P,https://openchargealliance.org/participants/dong-yang-ep/,Republic of Korea,DYENP-EV-CSMS-1.6,Security,DYENP-EV-CSMS-1.6,OCPP 1.6,2023-11-07,https://openchargealliance.org/wp-content/uploads/2024/01/Certificate_OCA.0016.0568.CSMS_Dongyang.pdf,Charging Station Management System
OCA.0016.1022.CSMS,Dongah Elecomm Corp.,https://openchargealliance.org/participants/dongah-elecomm-corporation/,Republic of Korea,Dongah CSMS,Full + Security,1.10,OCPP 1.6,2025-03-12,https://openchargealliance.org/wp-content/uploads/2025/03/Certificate_OCA.0016.1022.CSMS_Dongah.pdf,Charging Station Management System
OCA.0016.0001.CSMS,Driivz Ltd,https://openchargealliance.org/participants/driivz-ltd/,Israel,Driivz Charging Network Management System,Full,5.7,OCPP 1.6,2019-11-25,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160001CSMS_Driivz.pdf,Charging Station Management System
OCA.0201.0001.CSMS,Driivz Ltd,https://openchargealliance.org/participants/driivz-ltd/,Israel,Driivz CSMS Operator Portal,Core + S,7.15.0,OCPP 2.0.1,2023-10-08,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0201.0001.CSMS_Driivz-Ltd.pdf,Charging Station Management System
OCA.0016.1095.CSMS,"DURUSCO.EV Co., Inc.",,Republic of Korea,D.EV-CSMS-UTILITY,Full + Security,v1.0.0,OCPP 1.6,2025-07-31,https://openchargealliance.org/wp-content/uploads/2025/08/Certificate_OCA.0016.1095.CSMS_DURUSCO.pdf,Charging Station Management System
OCA.0016.1108.CSMS,DynaChrg,https://openchargealliance.org/participants/dynachrg/,USA,EVES,Full + Security,v1.2.0,OCPP 1.6,2025-09-15,https://openchargealliance.org/wp-content/uploads/2025/09/Certificate_OCA.0016.1108.CSMS_DynaChrg.pdf,Charging Station Management System
OCA.0201.0149.CSMS,DynaChrg,https://openchargealliance.org/participants/dynachrg/,USA,EVES,Core + S,v1.3.0,OCPP 2.0.1,2026-04-13,https://openchargealliance.org/wp-content/uploads/2026/04/Certificate_OCA.0201.0149.CSMS_Dynacharge.pdf,Charging Station Management System
E&H energy Co. Ltd,E&H energy Co. Ltd,,Republic of Korea,e-Charger,Security,1.0,OCPP 1.6,2024-03-18,https://openchargealliance.org/wp-content/uploads/2024/05/Certificate_OCA.0016.0678.CSMS_EH.pdf,Charging Station Management System
OCA.0016.0677.CSMS,E&H energy Co. Ltd,,Republic of Korea,e-Charger,Full,1.0,OCPP 1.6,2024-03-18,https://openchargealliance.org/wp-content/uploads/2024/05/Certificate_OCA.0016.0677.CSMS_EH.pdf,Charging Station Management System
OCA.0016.0712.CSMS,"e-TESS Co., Ltd.",,Republic of Korea,e-TESS CSMS,Full,v1.0.0,OCPP 1.6,2024-04-02,https://openchargealliance.org/wp-content/uploads/2024/04/Certificate_OCA.0016.0712.CSMS_eTESS.pdf,Charging Station Management System
OCA.0016.0254.CSMS,"E-wave Co., Ltd. (Formerly CS Technology)",,Republic of Korea,CHARGE-Q-CSMS,Full,v1.0.0,OCPP 1.6,2022-12-21,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0254.CSMS_CSTechnology.pdf,Charging Station Management System
OCA.0016.0255.CSMS,"E-wave Co., Ltd. (Formerly CS Technology)",,Republic of Korea,CHARGE-Q-CSMS,Security,V1.0.0,OCPP 1.6,2022-12-21,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0255.CSMS_CSTechnology.pdf,Charging Station Management System
OCA.0016.1171.CSMS,E1,,Republic of Korea,E1 CSMS,Core + S + C,1.0.0,OCPP 1.6,2026-01-16,https://openchargealliance.org/wp-content/uploads/2026/01/Certificate_OCA.0016.1171.CSMS_E1.pdf,Charging Station Management System
OCA.0016.0052.CSMS,Easy Charger,,Republic of Korea,CSMS,Full,1.0.0,OCPP 1.6,2022-02-24,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160052CSMS_Easycharger.pdf,Charging Station Management System
OCA.0016.0053.CSMS,Easy Charger,,Republic of Korea,CSMS,Security,1.0.0,OCPP 1.6,2022-02-24,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160053CSMS_Easycharger.pdf,Charging Station Management System
OCA.0016.0060.CS,EcarPlug,,Republic of Korea,AC/CPT_OCPP,Full,AC/CPT_OCPP,OCPP 1.6,2022-01-25,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160060CS_ecarPlug-Co.Ltd_.pdf,Charging Station Management System
OCA.0016.0058.CSMS,EcarPlug,,Republic of Korea,evRang_mCharger,Full,1.0.0,OCPP 1.6,2022-01-25,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160058CSMS_ecarPlug.pdf,Charging Station Management System
OCA.0016.0059.CSMS,EcarPlug,,Republic of Korea,evRang_mCharger,Security,1.0.0,OCPP 1.6,2022-01-25,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160059CSMS_ecarPlug.pdf,Charging Station Management System
OCA.0016.0771.CSMS,Eigen Digital Pte. Ltd.,,Singapore,Eigen CSMS,Full + Security,1.0,OCPP 1.6,2024-06-26,https://openchargealliance.org/wp-content/uploads/2024/07/Certificate_OCA.0016.0771.CSMS_Eigen.pdf,Charging Station Management System
OCA.0016.0204.CSMS,EL-Electric Co.,https://openchargealliance.org/participants/el-electric-co/,Republic of Korea,EL-CSMS,Full,v0.0.1,OCPP 1.6,2022-10-14,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0204.CSMS_EL-Electric.pdf,Charging Station Management System
OCA.0201.0020.CSMS,EL-Electric Co.,https://openchargealliance.org/participants/el-electric-co/,Republic of Korea,EL-CSMS,Core + S,v1.0.0,OCPP 2.0.1,2024-05-15,https://openchargealliance.org/wp-content/uploads/2024/05/Certificate_OCA.0201.0020.CSMS_EL-Electric.pdf,Charging Station Management System
OCA.0016.0215.CSMS,ELOCITYTECH INC,,Canada,HIEV CSMS,Full,1.3.0,OCPP 1.6,2022-11-17,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0215.CSMS_ELOCITYTECH.pdf,Charging Station Management System
OCA.0016.0336.CSMS,Elvo Technology,https://openchargealliance.org/participants/elvo-technology/,Romania,ELVO,Full,1.5,OCPP 1.6,2023-04-17,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0336.CSMS_ELVO-TECHNOLOGY-SRL.pdf,Charging Station Management System
OCA.0016.1071.CSMS,Elvo Technology,https://openchargealliance.org/participants/elvo-technology/,Romania,Elvo Platform – CSMS,Full + Security,1.6-J,OCPP 1.6,2025-06-19,https://openchargealliance.org/wp-content/uploads/2025/07/Certificate_OCA.0016.1071.CSMS_Elvo.pdf,Charging Station Management System
OCA.0201.0075.CSMS,"eTreego Co., Ltd.",,Taiwan,ETG CSMS,Core,V2.0.1.001,OCPP 2.0.1,2025-03-03,https://openchargealliance.org/wp-content/uploads/2025/03/Certificate_OCA.0201.0075.CSMS_eTreego.pdf,Charging Station Management System
OCA.0201.0055.CSMS,EV Connect,https://openchargealliance.org/participants/ev-connect-inc/,USA,EV Connect Management Platform,Core + S,2024.24.1,OCPP 2.0.1,2024-12-30,https://openchargealliance.org/wp-content/uploads/2025/02/Certificate_OCA.0201.0055.CSMS_EVConnect.pdf,Charging Station Management System
OCA.0016.1112.CSMS,EV DOT ENERGY LTD,,USA,ev.energy,Full + Security,v1.6,OCPP 1.6,2025-10-22,https://openchargealliance.org/wp-content/uploads/2025/11/Certificate_OCA.0016.1112.CSMS_EVEnergy.pdf,Charging Station Management System
OCA.0016.0154.CSMS,"EV-SEP Co., Ltd",,Republic of Korea,PCMS (Power Charger Management System),Full,PCMS V1.20512,OCPP 1.6,2022-06-02,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160154CSMS_EV-SEP.pdf,Charging Station Management System
OCA.0016.0042.CSMS,EVAR,https://openchargealliance.org/participants/evar/,Republic of Korea,CSMS,Full,1.0.0,OCPP 1.6,2022-01-05,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160042CSMS_EVAR.pdf,Charging Station Management System
OCA.0016.0159.CSMS,EVAR,https://openchargealliance.org/participants/evar/,Republic of Korea,CSMS,Security,1.0.0,OCPP 1.6,2022-06-30,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160159CSMS_EVAR.pdf,Charging Station Management System
OCA.0016.0071.CSMS,"Everon CO., Ltd.",https://openchargealliance.org/participants/everon-korea/,Republic of Korea,Everon CSMS,Full,EVCSMS1.0.0,OCPP 1.6,2022-03-11,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160071CSMS_Everon-CO.Ltd_.full_.pdf,Charging Station Management System
OCA.0016.0072.CSMS,"Everon CO., Ltd.",https://openchargealliance.org/participants/everon-korea/,Republic of Korea,Everon CSMS,Security,EVCSMS1.0.0,OCPP 1.6,2022-03-11,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160072CSMS_Everon-CO.Ltd_.security.pdf,Charging Station Management System
OCA.0016.0748.CSMS,EvGateway,,USA,EvGateway EV CSMS,Full,v2.4,OCPP 1.6,2024-05-08,https://openchargealliance.org/wp-content/uploads/2024/05/Certificate_OCA.0016.0748.CSMS_EvGateway.pdf,Charging Station Management System
OCA.0016.0749.CSMS,EvGateway,,USA,EvGateway EV CSMS,Security,v2.4,OCPP 1.6,2024-05-08,https://openchargealliance.org/wp-content/uploads/2024/05/Certificate_OCA.0016.0749.CSMS_EvGateway.pdf,Charging Station Management System
OCA.0201.0160.CSMS,evMega Technology Limited,https://openchargealliance.org/participants/evmega-technology-limited/,Hong Kong,Snapcharge 2.0,Core + S + C + I,v2.0.0,OCPP 2.0.1,2026-06-09,https://openchargealliance.org/wp-content/uploads/2026/06/Certificate_OCA.0201.0160.CSMS_evMega.pdf,Charging Station Management System
OCA.0016.0982.CSMS,"Evmode Korea, Inc.",https://openchargealliance.org/participants/evmode-korea-inc/,Republic of Korea,EVmode CSMS,Full,2.0.0,OCPP 1.6,2025-01-15,https://openchargealliance.org/wp-content/uploads/2025/02/Certificate_OCA.0016.0982.CSMS_EVmode.pdf,Charging Station Management System
OCA.0016.0454.CSMS,Evnest,,Republic of Korea,EVNEST,Full,1.0,OCPP 1.6,2023-08-07,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0454.CSMS_EVNEST.pdf,Charging Station Management System
OCA.0016.0429.CSMS,"EVSIS Co., Ltd.",https://openchargealliance.org/participants/evsis-co-ltd/,Republic of Korea,EVSIS CSMS,Full,evsis_csms_1.0,OCPP 1.6,2023-07-14,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0429.CSMS_EVSIS-Co.Ltd_.pdf,Charging Station Management System
OCA.0016.0430.CSMS,"EVSIS Co., Ltd.",https://openchargealliance.org/participants/evsis-co-ltd/,Republic of Korea,EVSIS CSMS,Security,evsis_csms_1.0,OCPP 1.6,2023-07-14,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0430.CSMS_EVSIS-Co.Ltd_.pdf,Charging Station Management System
OCA.0201.0052.CSMS,"EVSIS Co., Ltd.",https://openchargealliance.org/participants/evsis-co-ltd/,Republic of Korea,EVSIS CSMS,Core + S,evsis_csms_2.0,OCPP 2.0.1,2024-12-10,https://openchargealliance.org/wp-content/uploads/2025/03/Certificate_OCA.0201.0052.CSMS_EVSIS.pdf,Charging Station Management System
OCA.0201.0140.CSMS,"EVSIS Co., Ltd.",https://openchargealliance.org/participants/evsis-co-ltd/,Republic of Korea,EVSIS CSMS,Core + S + C + I,evsis_csms_2.1,OCPP 2.0.1,2026-02-24,https://openchargealliance.org/wp-content/uploads/2026/04/Certificate_OCA.0201.0140.CSMS_EVSIS.pdf,Charging Station Management System
OCA.0016.0201.CSMS,FII USA INC,,USA,CSMS,Full,v1.1.0,OCPP 1.6,2022-09-20,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0201.CSMS_FII-USA-INC.pdf,Charging Station Management System
OCA.0016.0993.CSMS,Fuuse Ltd,https://openchargealliance.org/participants/fuuse/,United Kingdom,Fuuse,Full,c1.6,OCPP 1.6,2025-02-06,https://openchargealliance.org/wp-content/uploads/2025/02/Certificate_OCA.0016.0993.CSMS_Fuuse.pdf,Charging Station Management System
OCA.0201.0072.CSMS,Fuuse Ltd,https://openchargealliance.org/participants/fuuse/,United Kingdom,Fuuse,Core + S,c2.0,OCPP 2.0.1,2025-03-04,https://openchargealliance.org/wp-content/uploads/2025/03/Certificate_OCA.0201.0072.CSMS_Fuuse.pdf,Charging Station Management System
OCA.0016.0049.CSMS,G-CONNECT,,Republic of Korea,GCharger,Full,1.0,OCPP 1.6,2022-02-18,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160049CSMS_G-CONNECT.pdf,Charging Station Management System
OCA.0016.0050.CSMS,G-CONNECT,,Republic of Korea,GCharger,Security,1.0,OCPP 1.6,2022-02-18,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160050CSMS_G-CONNECT.pdf,Charging Station Management System
